ID,Lat,Lon,Name,Population,Population Date
26938845,-29.116395,26.215496,Bloemfontein,370000,Unknown
26951330,59.218876,39.893276,Вологда,311628,2023-01-01
26980624,45.8817402,22.9008611,Deva,61123,Unknown
27000366,56.858675,35.9208284,Тверь,414756,2023-01-01
27000762,43.2630018,-2.9350039,Bilbao,344127,2022
27000791,42.8465088,-2.6724025,Vitoria-Gasteiz,248315,2022
27017589,58.5209862,31.2757862,Великий Новгород,223191,2023-01-01
27023455,42.2813722,-83.7484616,Ann Arbor,123851,Unknown
27023456,43.0161693,-83.6900211,Flint,80628,2021
27024680,59.722256,30.415731,Пушкин,112978,2021
27025179,59.5706273,30.1305083,Гатчина,94377,2021-01-01
27025689,57.8173923,28.3343465,Псков,189315,2023-01-01
27043265,28.4963633,34.5145652,دهب,12000,Unknown
27043346,-4.3217055,15.3125974,Kinshasa,9046000,Unknown
27048976,54.710128,20.5105838,Калининград,489735,2023-01-01
27072632,56.342361,30.527922,Великие Луки,86711,2021
27072633,54.7814057,32.0461261,Смоленск,325495,2020-01-01
27073428,53.2423778,34.3668288,Брянск,375669,2023-01-01
27084072,27.222556,33.8307062,الغردقة,160901,2006
27090043,51.7309249,36.1923123,Курск,434703,2023-01-01
27090054,29.4246002,-98.4951405,San Antonio,1434625,2020
27096008,52.9687747,36.0694937,Орёл,298172,2022-01-01
27119039,50.5955595,36.5873394,Белгород,333931,2023-01-01
27120185,-41.1797561,146.3613011,Devonport,24591,2021
27121360,49.5897423,34.5507948,Полтава,297600,Unknown
27122612,47.8507859,35.1182867,Запоріжжя,706116,Unknown
27132074,56.4958638,25.8687747,Jēkabpils,2588,Unknown
27132996,29.5569348,34.9497949,אילת,52229,Unknown
27135821,25.069992,34.893817,مرسى علم,1918,2006
27136155,26.104836,34.279764,القصير,24344,2006
27136248,26.7633325,33.9383817,سفاجا,28261,2006
27137606,40.6916081,-75.2099866,Easton,26800,Unknown
27155834,56.5048435,21.0070903,Liepāja,78787,Unknown
27161819,52.4082663,16.9335199,Poznań,548028,Unknown
27170104,15.1389351,120.5875321,Angeles,462928,2020-05-01
27171628,52.093751,23.6851851,Брэст,340521,2022-01-01
27175814,14.8314675,120.2835205,Olongapo,233040,Unknown
27193090,54.8982139,23.9044817,Kaunas,315993,Unknown
27193093,54.6870458,25.2829111,Vilnius,581475,2023
27193094,55.7127529,21.1350469,Klaipėda,162360,Unknown
