iter	Passed	Remaining
783	4866	615829
784	4872	615818
785	4878	615821
786	4884	615822
787	4891	615799
788	4897	615813
789	4904	615884
790	4910	615865
791	4916	615880
792	4922	615874
793	4928	615837
794	4934	615802
795	4940	615759
796	4947	615786
797	4953	615744
798	4959	615720
799	4965	615708
800	4971	615682
801	4977	615664
802	4983	615652
803	4989	615617
804	4996	615632
805	5002	615603
806	5008	615568
807	5014	615543
808	5020	615529
809	5026	615510
810	5032	615500
811	5038	615452
812	5044	615451
813	5051	615478
814	5057	615469
815	5063	615427
816	5069	615397
817	5075	615373
818	5081	615330
819	5087	615373
820	5093	615356
821	5100	615361
822	5106	615361
823	5112	615362
824	5118	615336
825	5125	615340
826	5131	615334
827	5137	615309
828	5143	615323
829	5149	615294
830	5156	615343
831	5162	615294
832	5168	615333
833	5175	615365
834	5181	615374
835	5187	615326
836	5193	615282
837	5199	615265
838	5205	615249
839	5211	615216
840	5217	615216
841	5224	615268
842	5230	615275
843	5237	615265
844	5243	615243
845	5249	615204
846	5255	615171
847	5261	615195
848	5267	615190
849	5273	615155
850	5279	615153
851	5286	615163
852	5292	615153
853	5298	615126
854	5304	615139
855	5311	615141
856	5317	615121
857	5323	615155
858	5330	615163
859	5336	615138
860	5342	615117
861	5348	615109
862	5354	615092
863	5360	615030
864	5366	615044
865	5372	614990
866	5378	614974
867	5384	614989
868	5391	615025
869	5397	615004
870	5408	615554
871	5414	615545
872	5421	615568
873	5427	615555
874	5433	615559
875	5440	615565
876	5445	615531
877	5451	615499
878	5458	615480
879	5464	615484
880	5470	615464
881	5476	615448
882	5482	615440
883	5488	615436
884	5494	615396
885	5500	615372
886	5507	615363
887	5513	615360
888	5519	615372
889	5525	615357
890	5532	615371
891	5538	615361
892	5544	615391
893	5551	615369
894	5557	615371
895	5563	615323
896	5569	615342
897	5575	615338
898	5581	615311
899	5588	615319
900	5594	615275
901	5600	615327
902	5606	615302
903	5612	615271
904	5618	615255
905	5625	615271
906	5631	615206
907	5637	615186
908	5643	615192
909	5649	615167
910	5655	615153
911	5661	615142
912	5667	615123
913	5673	615084
914	5679	615035
915	5685	614994
916	5691	614974
917	5697	614989
918	5704	614979
919	5710	614973
920	5716	614988
921	5723	615009
922	5729	614998
923	5735	615015
924	5741	615008
925	5747	614980
926	5754	614985
927	5760	614997
928	5767	615009
929	5773	614994
930	5779	614968
931	5785	614957
932	5791	614942
933	5797	614966
934	5803	614920
935	5809	614889
936	5815	614874
937	5821	614826
938	5827	614789
939	5834	614806
940	5840	614793
941	5846	614778
942	5852	614781
943	5859	614799
944	5865	614778
945	5871	614748
946	5877	614748
947	5883	614742
948	5889	614737
949	5895	614730
950	5902	614764
951	5908	614762
952	5914	614721
953	5920	614715
954	5927	614725
955	5933	614730
956	5939	614720
957	5945	614721
958	5952	614720
959	5958	614707
960	5964	614712
961	5970	614681
962	5976	614667
963	5983	614665
964	5989	614662
965	5995	614644
966	6001	614650
967	6007	614644
968	6013	614623
969	6020	614609
970	6026	614644
971	6032	614625
972	6038	614611
973	6045	614600
974	6051	614627
975	6057	614626
976	6064	614647
977	6070	614621
978	6076	614630
979	6083	614670
980	6089	614657
981	6095	614675
982	6102	614727
983	6108	614714
984	6115	614711
985	6121	614706
986	6127	614679
987	6133	614657
988	6139	614684
989	6145	614648
990	6151	614634
991	6158	614620
992	6164	614638
993	6170	614650
994	6177	614675
995	6183	614665
996	6190	614708
997	6196	614711
998	6202	614677
999	6208	614677
1000	6215	614678
1001	6221	614673
1002	6227	614684
1003	6233	614668
1004	6239	614622
1005	6245	614620
1006	6252	614630
1007	6258	614632
1008	6265	614651
1009	6271	614637
1010	6277	614618
1011	6283	614639
1012	6289	614627
1013	6296	614622
1014	6302	614658
1015	6308	614621
1016	6315	614639
1017	6321	614644
1018	6327	614622
1019	6333	614579
1020	6339	614570
1021	6345	614554
1022	6352	614576
1023	6358	614551
1024	6368	614946
1025	6378	615278
